PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Days_To_Delivery,Days_Past_Due,Cost_Savings,Delivery_Performance,Due_This_Week,Past_Due_Bucket
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,3.0,302.0,15949.50000000001,On Time,0,60+
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0.0,No,10.0,429.0,1864.9600000000003,On Time,0,60+
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,19.0,766.0,2313.630000000004,Delayed,0,60+
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,,0.0,2157.8299999999967,On Time,0,Not Past Due
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,15.0,662.0,22512.780000000013,Pending,0,60+
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,-5.0,957.0,2171.1899999999982,On Time,0,60+
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,,0.0,755.5099999999977,On Time,0,Not Past Due
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,16.0,961.0,3375.350000000004,Delayed,0,60+
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,20.0,666.0,3027.3099999999986,Delayed,0,60+
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,14.0,585.0,2749.1200000000035,On Time,0,60+
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,20.0,715.0,1349.399999999999,On Time,0,60+
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,3.0,939.0,2190.720000000001,On Time,0,60+
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,19.0,774.0,2550.2500000000023,Pending,0,60+
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,1.0,428.0,19264.249999999996,On Time,0,60+
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,,0.0,13554.000000000002,On Time,0,Not Past Due
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,9.0,783.0,2133.249999999999,Pending,0,60+
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,6.0,332.0,4871.620000000008,On Time,0,60+
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,15.0,483.0,3479.0000000000014,Delayed,0,60+
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,,0.0,1907.8500000000004,On Time,0,Not Past Due
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,0.0,Yes,19.0,332.0,5340.059999999998,Delayed,0,60+
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,16.0,524.0,4083.3900000000017,Delayed,0,60+
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,,0.0,10458.279999999992,On Time,0,Not Past Due
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,14.0,724.0,1478.3400000000001,Delayed,0,60+
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,4.0,863.0,2579.8399999999947,On Time,0,60+
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,11.0,746.0,799.459999999999,On Time,0,60+
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,16.0,419.0,8746.400000000005,On Time,0,60+
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,13.0,445.0,25735.50000000001,Delayed,0,60+
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,18.0,722.0,672.9800000000002,Delayed,0,60+
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,3.0,408.0,1447.140000000001,On Time,0,60+
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,11.0,560.0,1227.6599999999999,Delayed,0,60+
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,13.0,399.0,4993.56,On Time,0,60+
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,1.0,600.0,4390.199999999997,On Time,0,60+
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,18.0,621.0,6828.819999999995,Delayed,0,60+
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,2.0,783.0,3124.199999999999,On Time,0,60+
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,12.0,856.0,43.51999999999998,Delayed,0,60+
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,0.0,Yes,16.0,472.0,528.0800000000022,Delayed,0,60+
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,2.0,502.0,226.85999999999942,On Time,0,60+
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,18.0,898.0,16636.599999999995,On Time,0,60+
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,10.0,951.0,1739.9200000000003,Pending,0,60+
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,0.0,Yes,16.0,881.0,2872.8000000000034,Delayed,0,60+
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,0.0,Yes,20.0,833.0,9423.049999999997,Delayed,0,60+
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,6.0,361.0,3053.079999999999,On Time,0,60+
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,1.0,845.0,627.3000000000014,On Time,0,60+
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,3.0,310.0,1977.6000000000017,On Time,0,60+
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,4.0,573.0,2908.1600000000026,On Time,0,60+
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,4.0,395.0,15646.919999999996,On Time,0,60+
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,5.0,939.0,12670.320000000003,On Time,0,60+
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,10.0,605.0,6683.220000000007,On Time,0,60+
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,9.0,610.0,4026.3300000000013,On Time,0,60+
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,0.0,Yes,16.0,383.0,16466.160000000003,Delayed,0,60+
PO-00146,Gamma_Co,2023-04-25,2023-05-05,Electronics,Pending,468,95.57,91.8,24.0,Yes,10.0,520.0,1764.359999999998,Pending,0,60+
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,18.0,450.0,1341.8599999999997,Delayed,0,60+
PO-00148,Gamma_Co,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes,7.0,745.0,607.7600000000007,On Time,0,60+
PO-00149,Beta_Supplies,2023-07-21,,Packaging,Delivered,1846,13.72,12.62,216.0,Yes,,0.0,2030.6000000000026,On Time,0,Not Past Due
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes,5.0,993.0,11191.079999999994,On Time,0,60+
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes,9.0,304.0,1058.3999999999965,On Time,0,60+
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,0.0,No,14.0,878.0,11000.770000000002,Delayed,0,60+
PO-00153,Gamma_Co,2023-11-30,2023-12-17,Electronics,Pending,90,32.38,29.96,7.0,Yes,17.0,294.0,217.80000000000015,Pending,0,60+
PO-00154,Gamma_Co,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No,1.0,459.0,1706.5500000000009,On Time,0,60+
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes,10.0,726.0,241.04000000000008,On Time,0,60+
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes,19.0,334.0,1224.9999999999995,Delayed,0,60+
PO-00157,Epsilon_Group,2022-12-15,,Packaging,Cancelled,1913,66.56,61.34,61.0,Yes,,0.0,9985.859999999997,On Time,0,Not Past Due
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,0.0,Yes,5.0,890.0,4634.109999999997,On Time,0,60+
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes,16.0,693.0,1860.1000000000056,Delayed,0,60+
PO-00160,Epsilon_Group,2023-03-22,2023-04-09,Electronics,Partially Delivered,1106,97.77,90.45,31.0,Yes,18.0,546.0,8095.919999999993,On Time,0,60+
PO-00161,Delta_Logistics,2022-06-11,2022-06-24,Office Supplies,Pending,1121,42.38,38.34,152.0,Yes,13.0,835.0,4528.839999999999,Pending,0,60+
PO-00162,Alpha_Inc,2023-04-10,2023-04-21,Office Supplies,Delivered,552,60.48,56.78,10.0,Yes,11.0,534.0,2042.3999999999976,Delayed,0,60+
PO-00163,Gamma_Co,2022-01-04,2022-01-12,Packaging,Delivered,456,80.53,77.86,26.0,Yes,8.0,998.0,1217.520000000001,On Time,0,60+
PO-00164,Delta_Logistics,2022-09-27,2022-10-05,Packaging,Delivered,1647,47.52,44.92,0.0,Yes,8.0,732.0,4282.200000000003,On Time,0,60+
PO-00165,Epsilon_Group,2023-05-28,2023-06-11,Electronics,Pending,1801,71.27,61.24,43.0,Yes,14.0,483.0,18064.029999999988,Pending,0,60+
PO-00166,Gamma_Co,2022-07-02,2022-07-18,Electronics,Delivered,854,90.24,85.53,0.0,Yes,16.0,811.0,4022.3399999999947,Delayed,0,60+
